,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Georgia
8,Hawaii
9,Idaho
10,Illinois
11,Indiana
12,Kansas
13,Kentucky
14,Louisiana
15,Maine
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,New Hampshire
24,New Jersey
25,New Mexico
26,New York
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Vermont
37,Virginia
38,West Virginia
39,Wisconsin
40,Wyoming
